critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Desson Thomson,2008-08-05,fresh,117918,,Washington Post,Tin Cup works for viewers of any handicap.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/tincup.htm,13203,Tin Cup
Owen Gleiberman,2008-08-05,fresh,117918,A-,Entertainment Weekly,"The climactic game, in which Roy, in a way that defies prediction, attempts to sink the shot of his life, is the most rousing sequence of the year, a celebration of what it really means to win.","http://www.ew.com/ew/article/0,,293740,00.html",13203,Tin Cup
Todd McCarthy,2008-08-05,fresh,117918,,Variety,"Amiable and constantly amusing rather than uproarious, this mangy tale of a ne'er-do-well's fitful assault on personal and professional respectability benefits greatly from Kevin Costner's ingratiatingly comic star turn.",http://www.variety.com/review/VE1117910966.html?categoryid=31&cs=1,13203,Tin Cup
,2006-06-24,fresh,117918,,Time Out,Costner hasn't been this charming and spontaneous for years.,http://www.timeout.com/film/reviews/79470/tin_cup.html,13203,Tin Cup
Peter Stack,2002-06-18,fresh,117918,3/4,San Francisco Chronicle,"Tin Cup, starring Kevin Costner as a likable loser, accomplishes the impossible, maybe the unimaginable -- it makes golf entertaining.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/16/DD16321.DTL,13203,Tin Cup
Kenneth Turan,2001-02-14,rotten,117918,2/5,Los Angeles Times,Dispiritingly conventional and obvious.,"http://www.calendarlive.com/movies/reviews/cl-movie961028-31,0,962162.story",13203,Tin Cup
Janet Maslin,2000-01-01,fresh,117918,4/5,New York Times,"This film's overriding message is as pleasing as its flippant, skillful banter.",http://movies.nytimes.com/movie/review?res=9A03E0DE1031F935A2575BC0A960958260&partner=Rotten Tomatoes,13203,Tin Cup
Jonathan Rosenbaum,2000-01-01,rotten,117918,2/4,Chicago Reader,Breaking down the golf trajectories into separate shots during the sports climax comes across as an expedient form of cheating--the very opposite of authenticity.,http://www.chireader.com/movies/archives/0896/08306.html,13203,Tin Cup
James Berardinelli,2000-01-01,fresh,117918,3/4,ReelViews,"As sports movies go (regardless of the sport), this one turns in a respectable showing, injecting some intelligence and maturity into a story that easily could have succumbed to a flood of 'struggling underdog' cliches.",http://www.reelviews.net/php_review_template.php?identifier=1726,13203,Tin Cup
,2000-01-01,fresh,117918,3/4,USA Today,[A] quirkily easygoing comedy.,,13203,Tin Cup
Roger Ebert,2000-01-01,fresh,117918,3/4,Chicago Sun-Times,A formula sports comedy with a lot of non-formula human comedy.,http://www.rogerebert.com/reviews/tin-cup-1996,13203,Tin Cup
Jonathan Rosenbaum,2011-12-19,fresh,94924,,Chicago Reader,"Streep's beauty and talent and director Fred Schepisi's intelligence are both shown to best advantage, without easy points or grandstanding.",http://www.chicagoreader.com/chicago/a-cry-in-the-dark/Film?oid=1056649,12281,Evil Angels (A Cry in the Dark)
Sheila Benson,2011-12-19,fresh,94924,4/5,Los Angeles Times,Streep and Neill are the film's perfectly matched thoroughbreds. But the film is neither a double star turn nor the best kind of courtroom drama; it is a sort of epic mosaic of national character.,http://articles.latimes.com/1988-11-11/entertainment/ca-713_1_fred-schepisi,12281,Evil Angels (A Cry in the Dark)
,2006-01-26,fresh,94924,,Time Out,Streep (the best thing she has done in ages) carries it along.,http://www.timeout.com/film/reviews/69928/cry-in-the-dark-a-aka-evil-angels.html,12281,Evil Angels (A Cry in the Dark)
Vincent Canby,2004-08-30,fresh,94924,3.5/5,New York Times,Streep ... plays Lindy Chamberlain with the kind of virtuosity that seems to redefine the possibilities of screen acting.,http://www.nytimes.com/1988/11/11/movies/reviews-film-meryl-streep-in-a-cry-in-the-dark.html?pagewanted=all&src=pm,12281,Evil Angels (A Cry in the Dark)
Roger Ebert,2000-01-01,fresh,94924,3/4,Chicago Sun-Times,"Streep's performance is risky, and masterful.",http://www.rogerebert.com/reviews/a-cry-in-the-dark-1988,12281,Evil Angels (A Cry in the Dark)
Rita Kempley,2000-01-01,fresh,94924,,Washington Post,"Streep -- yes, with another perfect accent -- brings her customary skillfulness to the part. It's not a showy performance, but the heroine's internal struggle seems to come from the actress' pores.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/acryinthedark.htm,12281,Evil Angels (A Cry in the Dark)
Gene Siskel,2013-01-18,fresh,68646,4/4,Chicago Tribune,"To permit us a glimpse at The Mob, with all of its ethnic insularity, is like giving a chronic gambler a chance to wander above the false mirrors that overlook every casino.",http://articles.chicagotribune.com/1999-10-15/entertainment/9910200025_1_movie-reviews-star-film,12911,The Godfather
Andrew Sarris,2012-09-24,fresh,68646,,Village Voice,Brando's triumph and fascination is less that of an actor of parts than of a star galaxy of myths.,http://blogs.villagevoice.com/runninscared/2011/02/the_godfather_a.php,12911,The Godfather
F.X. Feeney,2011-02-23,fresh,68646,,L.A. Weekly,Traces the arc of this doomed idealism with a beauty that is still fresh.,http://www.laweekly.com/movies,12911,The Godfather
Michael Wilmington,2011-02-23,fresh,68646,,Chicago Tribune,"Brando made Don Vito something we rarely see in movies: a tragicomic villain-hero, a vulnerable hood.",http://www.chicagotribune.com/entertainment/movies/,12911,The Godfather
Jay Cocks,2011-02-23,fresh,68646,,TIME Magazine,"In its blending of new depth with an old genre, it becomes that rarity, a mass entertainment that is also great movie art.","http://www.time.com/time/magazine/article/0,9171,903442,00.html",12911,The Godfather
Ben Walters,2009-09-25,fresh,68646,3/5,Time Out,"As filmmaking and storytelling, 'The Godfather' remains a bravura piece of work, its set pieces, dialogue and performances entrenched cinematic icons.",http://www.timeout.com/film/reviews/87711/the-godfather-re-release.html,12911,The Godfather
Desson Thomson,2008-01-29,fresh,68646,,Washington Post,There are volumes that could be written -- and have been -- about the movie's uniformly powerful performances; its precedent-setting editing by William Reynolds and Peter Zinner; Nino Rota's haunting score; and Dean Tavoularis's evocative set design.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/godfatherhowe.htm,12911,The Godfather
A.D. Murphy,2008-01-29,fresh,68646,,Variety,The biggest achievement here is the establishment of mood and time.,http://www.variety.com/review/VE1117933082.html?categoryid=31&cs=1,12911,The Godfather
Dave Kehr,2006-12-13,fresh,68646,,Chicago Reader,The ultimate family film.,http://onfilm.chicagoreader.com/movies/capsules/4088_GODFATHER,12911,The Godfather
Geoff Andrew,2006-02-09,fresh,68646,,Time Out,"An everyday story of Mafia folk, incorporating a severed horse's head in the bed and a number of heartwarming family occasions, as well as pointers on how not to behave in your local trattoria.",http://www.timeout.com/film/reviews/70298/the_godfather.html,12911,The Godfather
Vincent Canby,2003-05-20,fresh,68646,5/5,New York Times,Francis Ford Coppola has made one of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment.,http://movies.nytimes.com/movie/review?res=EE05E7DF1739E464BC4E52DFB5668389669EDE&partner=Rotten Tomatoes,12911,The Godfather
James Berardinelli,2000-01-01,fresh,68646,4/4,ReelViews,"We come to The Godfather like Kay Adams -- outsiders uncertain in our expectations - but it doesn't take long for us to be captivated by this intricate, violent world.",http://www.reelviews.net/php_review_template.php?identifier=262,12911,The Godfather
Joe Baltake,2000-01-01,fresh,68646,,Sacramento Bee,"With The Godfather, Coppola got everything right, balancing art with commerce -- and turning a big-studio project into something deeply personal and resonant.",http://www.movieclub.com/reviews/archives/97godfather/godfather.html,12911,The Godfather
John Hartl,2000-01-01,fresh,68646,,Film.com,"The years have been kind to this timeless Mafia epic, which seems particularly rich now that studio blockbusters no longer demonstrate this kind of care with character, atmosphere and storytelling.",,12911,The Godfather
Roger Ebert,2000-01-01,fresh,68646,4/4,Chicago Sun-Times,"The story by Mario Puzo and Francis Ford Coppola is a brilliant conjuring act, inviting us to consider the Mafia entirely on its own terms.",http://www.rogerebert.com/reviews/the-godfather-1972,12911,The Godfather
Mary Brennan,2000-01-01,fresh,68646,,Film.com,"Corleone, the soft-spoken crimelord, is masterfully played by Brando in one of the most imitated performances of all time.",,12911,The Godfather
Edward Guthmann,2000-01-01,fresh,68646,,San Francisco Chronicle,"In scene after scene ... Coppola crafted an enduring, undisputed masterpiece.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/03/21/DD65519.DTL,12911,The Godfather
Desmond Ryan,2013-08-01,fresh,104558,3/4,Philadelphia Inquirer,"If you're tired of burned-out coppers in Hollywood's blockbusters, try this offbeat hero from Hong Kong.",http://articles.philly.com/1996-07-26/entertainment/25619725_1_edward-tang-willie-chan-lee-wai-yee,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Kevin Thomas,2013-08-01,fresh,104558,4.5/5,Los Angeles Times,"To watch Jackie Chan, Hong Kong's king of kung fu comedy, in the fresh and exhilarating Super Cop is like watching Douglas Fairbanks Sr. or one of the silent era clowns in one of their biggest hits.",http://articles.latimes.com/1993-05-21/entertainment/ca-38035_1_jackie-chan,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Michael Wilmington,2013-08-01,fresh,104558,3/4,Chicago Tribune,"Sly and Schwartzy, eat your hearts out. Chan's the man.",http://articles.chicagotribune.com/1996-07-26/entertainment/9607260232_1_chaibat-michelle-khan-yuen-wah,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Lisa Schwarzbaum,2012-08-15,fresh,104558,B,Entertainment Weekly,"The most powerful starring role for a woman this summer? My vote goes to Michelle Khan in this garish, frenetic, and funny chopper from Rumble in the Bronx director Stanley Tong.","http://www.ew.com/ew/article/0,,293551,00.html",147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Variety Staff,2012-08-15,fresh,104558,,Variety,"All this is executed with a good deal of panache, if not originality, by stunt coordinator Stanley Tong.",http://www.variety.com/review/VE1117905446/,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Rita Kempley,2002-01-22,fresh,104558,,Washington Post,"With martial arts superstar Jackie Chan, older may be better.",http://www.washingtonpost.com/wp-srv/style/longterm/review96/supercopharr.htm,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Mick LaSalle,2000-01-01,fresh,104558,3/4,San Francisco Chronicle,Supercop is a chance to get a full-strength blast of Chan.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1997/03/28/DD29103.DTL,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Jonathan Rosenbaum,2000-01-01,rotten,104558,,Chicago Reader,Supercop's biggest flaw is what its producers probably saw as its greatest strength: it's very American.,http://www.chireader.com/movies/archives/0896/08096b.html,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Keith Simanton,2000-01-01,fresh,104558,,Film.com,"Jackie Chan makes his second leap at the American movie audience, following up Rumble in the Bronx with a far sharper mix of stunts, martial arts and Chan's own brand of breathtaking slapstick comedy.",,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
James Berardinelli,2000-01-01,fresh,104558,3/4,ReelViews,"Supercop is a better movie than Rumble in the Bronx, in large part because it's funnier.",http://www.reelviews.net/movies/s/supercop.html,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Sean Means,2000-01-01,fresh,104558,,Film.com,"Chan is fun to watch, no matter what silliness one has to put up with.",,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
,2000-01-01,fresh,104558,2.5/4,USA Today,"It's kind of silly, but how many movies boast a leading man who isn't afraid to order 'roast cat and string beans' at a Chinese restaurant?",,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Susan Stark,2000-01-01,fresh,104558,3/4,Detroit News,"A wild and free-wheeling action film, vastly superior to this year's Rumble in the Bronx in both plot and action.",http://data.detnews.com/movies/details.hbs?myrec=241,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
John Hartl,2000-01-01,fresh,104558,,Film.com,An astonishingly fluid and funny movie that makes most American action pictures seem lethargic.,,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Lawrence Van Gelder,2000-01-01,fresh,104558,3.5/5,New York Times,"Chan is joined in this outing by a female co-star, Michelle Khan, who seems every bit his equal when it comes to martial-arts prowess and foolhardy daredeviltry. Taken together, they're like watching two 007's, one 0014 or, as they say now, whatever.",http://partners.nytimes.com/library/film/supercop.html,147524239,Supercop (Police Story 3) (Ging chaat goo si 3: Chiu kap ging chaat)
Desson Thomson,2003-04-02,rotten,116985,,Washington Post,"Its thematic scope stays rather small, and the final third of the movie seems muted and flat.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/mannyandlo.htm,16360,Manny & Lo
Rick Groen,2002-12-23,fresh,116985,2.5/4,Globe and Mail,"A sweet little fable, a bit shy on substance but quite charming in the telling.",http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/104593,16360,Manny & Lo
Kenneth Turan,2001-02-14,fresh,116985,4/5,Los Angeles Times,"An unapologetically small but wholly original movie, warm-hearted but not precious, and possessed of a gently wacky sensibility.","http://calendarlive.com/top/1,1419,L-LATimes-Movies-X!ArticleDetail-4140,00.html",16360,Manny & Lo
Mick LaSalle,2000-01-01,fresh,116985,2/4,San Francisco Chronicle,"Though employing no surreal devices and remaining within a realistic convention, Krueger takes the story of two young sisters on their own and somehow makes it seem unreal, strange, outside time.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/09/DD66424.DTL,16360,Manny & Lo
James Berardinelli,2000-01-01,fresh,116985,3.5/4,ReelViews,"With its carefully-modulated combination of light comedy and drama, the film casts a gentle spell.",http://www.reelviews.net/php_review_template.php?identifier=114,16360,Manny & Lo
Joe Baltake,2000-01-01,fresh,116985,3/4,Sacramento Bee,"An odd, singular movie full of odd, singular moments.",http://www.movieclub.com/reviews/archives/96manny/manny.html,16360,Manny & Lo
Janet Maslin,2000-01-01,fresh,116985,3.5/5,New York Times,It's the kind of story that leaves viewers with a warm glow.,http://movies.nytimes.com/movie/review?res=9F02E6DD1739F935A15754C0A960958260&partner=Rotten Tomatoes,16360,Manny & Lo
Roger Ebert,2000-01-01,fresh,116985,3.5/4,Chicago Sun-Times,"One of the pleasures of Manny & Lo is the way that it reveals its characters in sudden, unexpected, defining acts.",http://www.rogerebert.com/reviews/manny-and-lo-1996,16360,Manny & Lo
Jeff Millar,2000-01-01,fresh,116985,,Houston Chronicle,"It is a slight enterprise, not always expert in its construction, but it is sweet without being cloying, and it is sentimental in beneficial ways.",,16360,Manny & Lo
Rita Kempley,2000-01-01,rotten,116985,,Washington Post,The story settles into a fairly routine feminist fable.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/mannyandlo.htm,16360,Manny & Lo
David Fear,2011-11-18,rotten,452694,2/5,Time Out,"That the actors can pull off such Oprah-friendly, sci-fi-inflected sap and keep straight faces is the most fantastic thing about this loopy love story.",http://www.timeout.com/film/reviews/87325/the_time_traveler-s_wife.html,770680255,The Time Traveler's Wife
Kathleen Murphy,2009-08-21,rotten,452694,2/5,MSN Movies,"The movie moves fast, as though to distract you from these shortcomings and the nearly total absence of logic.",http://movies.msn.com/movies/movie-critic-reviews/the-time-traveler's-wife/,770680255,The Time Traveler's Wife
Richard Roeper,2009-08-18,rotten,452694,2/5,Richard Roeper.com,Buy the book.,http://www.richardroeper.com/reviews/id/114/,770680255,The Time Traveler's Wife
David Edelstein,2009-08-17,fresh,452694,,New York Magazine,"I'm over the moon about this movie, which smooths out the psychological dissonances in Audrey Niffenegger's fine novel but is still an emotional workout.",http://nymag.com/movies/reviews/58313/index1.html,770680255,The Time Traveler's Wife
Ben Lyons,2009-08-17,rotten,452694,,At the Movies,"Some fans of the book might enjoy seeing these two soul mates brought to life on the big screen, but for everyone else the interpretation seems forced and at times inconsistent.",http://bventertainment.go.com/tv/buenavista/atm/,770680255,The Time Traveler's Wife
Ben Mankiewicz,2009-08-17,rotten,452694,,At the Movies,I thought really very little in the film worked.,http://bventertainment.go.com/tv/buenavista/atm/,770680255,The Time Traveler's Wife
Dana Stevens,2009-08-14,rotten,452694,,Slate,"Long spans of time pass between lines of dialogue, many of which seem to have been inexpertly translated from a foreign language so that they almost make sense but not quite.",http://www.slate.com/id/2224418/,770680255,The Time Traveler's Wife
Michael Phillips,2009-08-14,rotten,452694,2/4,Chicago Tribune,"The emotions and crises feel pre-sanded, smooth to the point of blandness. The transitional disappearances are routine.",http://featuresblogs.chicagotribune.com/talking_pictures/2009/08/the-time-travelers-wife2-stars.html,770680255,The Time Traveler's Wife
Joe Neumaier,2009-08-14,rotten,452694,1/5,New York Daily News,"It's hard to live in stolen moments, but trying to find a few enjoyable ones in The Time Traveler's Wife is nearly impossible.",http://www.nydailynews.com/entertainment/movies/2009/08/13/2009-08-13_the_time_travelers_wife_sorry_not_this_time_as_movies_dumbness_makes_audience_wa.html,770680255,The Time Traveler's Wife
Betsy Sharkey,2009-08-14,rotten,452694,2.5/5,Los Angeles Times,"Yet where there should be heat, a cold wind blows.","http://www.latimes.com/entertainment/news/la-et-time-traveler14-2009aug14,0,348543.story",770680255,The Time Traveler's Wife
Kyle Smith,2009-08-14,rotten,452694,1.5/4,New York Post,"A Twilight Zone premise written like a Mariah Carey song, The Time Traveler's Wife is destined for a warm welcome on an obscure cable network. The Spinster Movie Station? The Lonely Hearts Channel?",http://www.nypost.com/seven/08142009/entertainment/movies/time_bomb__184403.htm,770680255,The Time Traveler's Wife
Stephen Whitty,2009-08-14,rotten,452694,2/4,Newark Star-Ledger,"The whole thing feels arbitrary. Henry and Clare's love is bedeviled not by anything they've done or have any control over, so the drama fails to build.",http://www.nj.com/entertainment/tv/index.ssf/2009/08/the_time_travelers_wife_movie.html,770680255,The Time Traveler's Wife
Steven Rea,2009-08-14,rotten,452694,2/4,Philadelphia Inquirer,"A kooky, head-spinning romantic mess.",http://www.philly.com/philly/entertainment/movies/20090814_A_wild__woolly_idea_comes_unbuttoned.html,770680255,The Time Traveler's Wife
Peter Travers,2009-08-14,rotten,452694,1/4,Rolling Stone,"I'd watch the vibrant Rachel McAdams and Eric Bana in anything, but The Time Traveler's Wife is pushing it.",http://www.rollingstone.com/movies/reviews/time-travelers-wife-20090813,770680255,The Time Traveler's Wife
Rick Groen,2009-08-14,rotten,452694,2/4,Globe and Mail,"Romance is robbed of its gamble, stripped of its suspense, shorn of its mystery, and deprived of an ending that feels earned.",http://www.theglobeandmail.com/news/arts/the-time-travelers-wife/article1250950/,770680255,The Time Traveler's Wife
Stephanie Zacharek,2009-08-14,rotten,452694,,Salon.com,There's not much [McAdams] or Bana can do to rescue this dreary piece of romantic hooey.,http://www.salon.com/ent/movies/review/2009/08/14/time_travelers_wife/index.html,770680255,The Time Traveler's Wife
Mick LaSalle,2009-08-14,fresh,452694,3/4,San Francisco Chronicle,"It takes, as its subjects, the sadness and grandeur of life and the mystery of time, and it offers a full experience to those who find its wavelength.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2009/08/13/MVGV197NEG.DTL&type=movies,770680255,The Time Traveler's Wife
Moira MacDonald,2009-08-14,rotten,452694,2/4,Seattle Times,"Suspend your disbelief and you might find The Time Traveler's Wife a charming if mildly depressing fantasy. Or you might, as I did, travel elsewhere during it. Either way, at least it's a picturesque journey.",http://seattletimes.nwsource.com/html/movies/2009657455_mr14time.html,770680255,The Time Traveler's Wife
Adam Graham,2009-08-14,rotten,452694,C,Detroit News,"The fact that Bana is a bit of a cold fish and real sparks never really ignite between he and McAdams, who is 10 years his junior, doesn't help matters.",http://www.detnews.com/article/20090814/ENT02/908140328/1034/-Traveler-s-Wife--is-a-dull-journey,770680255,The Time Traveler's Wife
Peter Rainer,2009-08-14,rotten,452694,D-,Christian Science Monitor,"I'll let you in on a little secret that film critics have known for years. A major studio production, released in August with top-list stars, is almost certain to be a gobbler.",http://www.csmonitor.com/2009/0814/p17s03-almo.html,770680255,The Time Traveler's Wife
Mike Clark,2000-01-01,fresh,115736,3.5/4,USA Today,"Some caper movies build suspense, while others tweak the genre with tongue lancing cheek. But this lesbian caper pic often pulls off both feats in the same scene, even simultaneously.",,13080,Bound
Jack Kroll,2013-01-18,fresh,116745,,Newsweek,"Altman loves to explode movie genres, and his script, co-written with Frank Barhydt, fuses the classic '30s screwball comedy and crime film.",http://www.thedailybeast.com/newsweek/1996/08/18/altman-and-all-that-jazz.html,16146,Kansas City
Kevin Thomas,2001-02-14,fresh,116745,,Los Angeles Times,"It could never for an instant be mistaken for anything but a Robert Altman film, and that counts for a lot.","http://www.calendarlive.com/movies/reviews/cl-movie961028-33,0,1093236.story",16146,Kansas City
Mike Clark,2000-01-01,fresh,116745,3.5/4,USA Today,Jennifer Jason Leigh and Miranda Richardson are synergetic perfection as social opposites thrown together for 24 hours in a 1934 hot town.,,16146,Kansas City
James Berardinelli,2000-01-01,rotten,116745,2.5/4,ReelViews,"A sadly ordinary motion picture, and, in less sure hands, it might have been something of an unfortunate mess. Even with Altman at the helm, however, it manages to be singularly unremarkable.",http://www.reelviews.net/php_review_template.php?identifier=1941,16146,Kansas City
Edward Guthmann,2000-01-01,rotten,116745,2/4,San Francisco Chronicle,Would someone throw a net over Jennifer Jason Leigh? She's at it again.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/16/DD6437.DTL,16146,Kansas City
Roger Ebert,2000-01-01,fresh,116745,3/4,Chicago Sun-Times,"All of the characters act as if somebody might come along someday and make a movie about them. And Altman, who made the movie, gets his chance to sit in at last on one of those cutting sessions.",http://www.rogerebert.com/reviews/kansas-city-1996,16146,Kansas City
Jeff Millar,2000-01-01,rotten,116745,,Houston Chronicle,"Let's just say that if you find it arbitrary and more an expression of Altman's feelings about class than the outcome of his story, then we are in agreement.",,16146,Kansas City
Stephen Holden,2000-01-01,fresh,116745,,New York Times,[It] has its own brawling vitality.,http://movies.nytimes.com/movie/review?res=9A05E7DE1031F935A2575BC0A960958260&partner=Rotten Tomatoes,16146,Kansas City
John Hartl,2013-06-14,rotten,119214,1/4,Seattle Times,This is one of the summer's sorrier excuses for a major-studio release.,http://community.seattletimes.nwsource.com/archive/?date=19970531&slug=2541966,11557,Gone Fishin'
Paul Tatara,2013-06-14,rotten,119214,,CNN.com,I don't even know where to start.,http://www.cnn.com/SHOWBIZ/9706/05/review.gone.fishin/,11557,Gone Fishin'
John Petrakis,2013-05-22,fresh,119214,,Chicago Tribune,It is testimony to the superior acting skills of Joe Pesci and Danny Glover that Gone Fishin' registers more than a blip on the summer movie radar screen.,http://articles.chicagotribune.com/1997-06-02/features/9706020206_1_billy-catch-pooler-joe-waters-danny-glover,11557,Gone Fishin'
Lisa Schwarzbaum,2011-09-07,rotten,119214,D-,Entertainment Weekly,Big mistake.,"http://www.ew.com/ew/article/0,,288287,00.html",11557,Gone Fishin'
Daniel M. Kimmel,2005-04-27,rotten,119214,,Variety,Film is so formulaic that virtually every plot point is telegraphed way in advance.,http://www.variety.com/review/VE1117341406.html?categoryid=31&cs=1,11557,Gone Fishin'
Lawrence Van Gelder,2003-05-20,rotten,119214,1/5,New York Times,This is a film that misses the boat right from the start through an improper mixture of fools.,http://movies.nytimes.com/movie/review?res=9C00E4DB113AF932A05756C0A961958260&partner=Rotten Tomatoes,11557,Gone Fishin'
Gene Seymour,2001-02-14,rotten,119214,0.5/5,Los Angeles Times,"A mirthless, graceless slapstick comedy with little to recommend it except some Florida scenery -- which, come to think of it, isn't all that scenic.",http://articles.latimes.com/1997-06-02/entertainment/ca-64734_1_joe-pesci,11557,Gone Fishin'
James Berardinelli,2000-01-01,rotten,119214,1.5/4,ReelViews,"The saddest thing about this unfunny, misguided motion picture is watching two performers I admire -- Joe Pesci and Danny Glover -- stumble their way through such obviously inferior material.",http://www.reelviews.net/movies/g/gone.html,11557,Gone Fishin'
Desson Thomson,2000-01-01,rotten,119214,,Washington Post,Cut bait and avoid this trip.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/gonefishin.htm,11557,Gone Fishin'
Susan Wloszczyna,2000-01-01,rotten,119807,2.5/4,USA Today,A bumpy buddy romp that's mildly winning thanks to its stars.,,13562,Nothing to Lose
Emanuel Levy,2006-08-09,fresh,116418,B+,Variety,"As a male writer-director, McKay proves to be extremely sensitive to the feeling and words of working-class women (Lili Taylor among them), determined to establish their self-worth as well as to fight against the social ills of the oppressive system",http://www.variety.com/review/VE1117910716.html?categoryid=31&cs=1,751377998,Girls Town
Desson Thomson,2002-07-24,rotten,116418,,Washington Post,"Taylor, Harris and Grace come up with some watchable, genuine moments. But they're often too involved in themselves; the movie indulges them too much.",http://www.washingtonpost.com/wp-srv/style/longterm/review96/girlstownhowe.htm,751377998,Girls Town
Joe Baltake,2000-01-01,fresh,116418,3.5/4,Sacramento Bee,The film feels utterly real.,http://www.movieclub.com/reviews/archives/96girlstown/girlstown.html,751377998,Girls Town
Jeff Millar,2000-01-01,fresh,116418,,Houston Chronicle,Features good work from its performers.,,751377998,Girls Town
Mick LaSalle,2000-01-01,fresh,116418,3/4,San Francisco Chronicle,The performances and the film's plausible handling of an unusual movie subject make Girls Town special.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/30/DD55687.DTL,751377998,Girls Town
James Berardinelli,2000-01-01,fresh,116418,3/4,ReelViews,"Does an excellent job of uncovering the angst, pressure, and doubt associated with the late teenage years.",http://www.reelviews.net/movies/g/girls_town.html,751377998,Girls Town
Michael O'Sullivan,2000-01-01,fresh,116418,,Washington Post,"Constructed without a traditional denouement, Girls Town will nevertheless satisfy viewers who want something that feels more like life than like art.",http://www.washingtonpost.com/wp-srv/style/longterm/review96/girlstownosull.htm,751377998,Girls Town
Stephen Holden,2000-01-01,fresh,116418,3/5,New York Times,A welcome little gust of teen-age realism.,http://movies.nytimes.com/movie/review?res=9E00EFDF1230F932A1575BC0A960958260&partner=Rotten Tomatoes,751377998,Girls Town
Roger Ebert,2000-01-01,fresh,116418,3/4,Chicago Sun-Times,"I would like to see another movie in three or four years, about what has happened to these angry, gifted friends.",http://www.rogerebert.com/reviews/girls-town-1996,751377998,Girls Town
Emanuel Levy,2006-12-23,rotten,120004,C,Variety,"Though based on an original and respected novel, Hyams' horror thriller comes across as a pastiche of the genre's conventions as evident in major pictures of the past two decades, such as Jaws and the first two Alien films.",http://www.variety.com/review/VE1117432788.html?categoryid=31&cs=1,13692,The Relic
Susan Wloszczyna,2000-01-01,rotten,120004,2/4,USA Today,Gore seekers need only to know the body count is high and the scares are cheap as director Peter Hyams shares his beast's repellent disregard for human life.,,13692,The Relic
Mike Clark,2000-01-01,rotten,116654,2/4,USA Today,"The movie keeps switching focus without ever getting its bearings, and when Brando exits earlier than expected, there's little but mayhem to fall back on.",,17260,The Island of Dr. Moreau
Susan Wloszczyna,2000-01-01,rotten,116311,2.5/4,USA Today,Utterly conventional.,,11392,First Kid
Variety Staff,2008-06-23,rotten,101452,,Variety,[The] filmmakers might have gotten more mileage if they'd rooted their adventure a bit more in reality.,http://www.variety.com/review/VE1117789261.html?categoryid=31&cs=1,11035,Bill & Ted's Bogus Journey
,2006-02-09,fresh,101452,,Time Out,"For those who appreciate dude-speak and bozo humor, this is a very funny film.",http://www.timeout.com/film/reviews/67823/bill_teds_bogus_journey.html,11035,Bill & Ted's Bogus Journey
Roger Ebert,2004-10-23,fresh,101452,3/4,Chicago Sun-Times,"A riot of visual invention and weird humor that works on its chosen sub-moronic level, and on several others as well...",http://www.rogerebert.com/reviews/bill-and-teds-bogus-journey,11035,Bill & Ted's Bogus Journey
Janet Maslin,2003-05-20,fresh,101452,,New York Times,"It's hard not to appreciate two guys who can invest a cry of ""Whoa!"" with such pure ecstasy and who think that Joan of Arc is Noah's wife.",http://movies.nytimes.com/movie/review?res=9D0CE5DF163FF93AA25754C0A967958260&partner=Rotten Tomatoes,11035,Bill & Ted's Bogus Journey
